Date,price,bac,meta,msft,spx,amd,crm
06/21/2024,207.49,39.49,494.78,449.78,5464.62,161.23,245.06
06/20/2024,209.68,39.99,501.7,445.7,5473.17,161.78,241.8
06/18/2024,214.29,39.99,499.49,446.34,5487.03,154.63,231.81
06/17/2024,216.67,39.51,506.63,448.37,5473.23,158.4,230.48
06/14/2024,212.49,39.24,504.16,442.57,5431.6,159.63,231.94
06/13/2024,214.24,39.26,504.1,441.58,5433.74,159.9,229.03
06/12/2024,213.07,39.41,508.84,441.06,5421.03,160.24,235.8
06/11/2024,207.15,38.86,507.47,432.68,5375.32,158.96,240.99
06/10/2024,193.12,39.67,502.6,427.87,5360.79,160.34,241.84
06/07/2024,196.89,39.78,492.96,423.85,5346.99,167.87,241.85
06/06/2024,194.48,39.7,493.76,424.52,5352.96,166.78,242.76
06/05/2024,195.87,39.96,495.06,424.01,5354.03,166.17,236.53
06/04/2024,194.35,39.68,476.99,416.07,5291.34,159.99,234.86
06/03/2024,194.03,39.88,477.49,413.52,5283.4,163.55,236.62
05/31/2024,192.25,39.99,466.83,415.13,5277.51,166.9,234.44
05/30/2024,191.29,38.63,467.05,414.67,5235.48,166.75,218.01
05/29/2024,190.29,38.72,474.36,429.17,5266.95,165.14,271.62
05/28/2024,189.99,39.32,479.92,430.32,5306.04,171.61,269.83
05/24/2024,189.98,39.7,478.22,430.16,5304.72,166.36,272.29
05/23/2024,186.88,39.17,465.78,427.0,5267.84,160.43,278.57
05/22/2024,190.9,39.76,467.78,430.52,5307.01,165.52,283.82
05/21/2024,192.35,39.65,464.63,429.04,5321.41,164.66,283.76
05/20/2024,191.04,38.82,468.84,425.34,5308.13,166.33,287.07
05/17/2024,189.87,39.29,471.91,420.21,5303.27,164.47,285.61
05/16/2024,189.84,39.22,473.23,420.99,5297.1,162.62,284.68
05/15/2024,189.72,38.91,481.54,423.08,5308.15,159.67,287.54
05/14/2024,187.43,38.49,471.85,416.56,5246.68,153.16,276.8
05/13/2024,186.28,38.21,468.01,413.72,5221.42,150.56,277.52
05/10/2024,183.05,38.45,476.2,414.74,5222.68,151.92,276.67
05/09/2024,184.57,38.28,475.42,412.32,5214.08,152.39,275.17
05/08/2024,182.74,37.71,472.6,410.54,5187.67,153.62,278.97
05/07/2024,182.4,37.84,468.24,409.34,5187.7,154.43,277.18
05/06/2024,181.71,37.69,465.68,413.54,5180.74,155.78,275.63
05/03/2024,183.38,37.25,451.96,406.66,5127.79,150.6,273.66
05/02/2024,173.03,36.88,441.68,397.84,5064.2,146.16,272.13
05/01/2024,169.3,36.95,439.19,394.94,5018.39,144.27,268.69
04/30/2024,170.33,37.01,430.17,389.33,5035.69,158.38,268.94
04/29/2024,173.5,37.55,432.62,402.25,5116.17,160.2,275.74
04/26/2024,169.3,37.83,443.29,406.32,5099.96,157.4,274.29
04/25/2024,169.89,37.91,441.38,399.04,5048.42,153.76,273.14
04/24/2024,169.02,38.32,493.5,409.06,5071.63,151.74,276.19
04/23/2024,166.9,38.37,496.1,407.57,5070.55,152.27,276.68
04/22/2024,165.84,37.73,481.73,400.96,5010.6,148.64,273.81
04/19/2024,165.0,36.97,481.07,399.12,4967.23,146.64,270.37
04/18/2024,167.04,35.77,501.8,404.27,5011.12,155.08,271.92
04/17/2024,168.0,35.23,494.17,411.84,5022.21,154.02,276.32
04/16/2024,169.38,34.68,499.76,414.58,5051.41,163.46,277.41
04/15/2024,172.69,35.95,500.23,413.64,5061.82,160.32,272.9
04/12/2024,176.55,35.79,511.9,421.9,5123.41,163.28,294.32
04/11/2024,175.04,36.35,523.16,427.93,5199.06,170.5,299.15
04/10/2024,167.78,36.65,519.83,423.26,5160.64,167.14,299.62
04/09/2024,169.67,37.73,516.9,426.28,5209.91,170.78,302.37
04/08/2024,168.45,37.5,519.25,424.59,5202.39,169.9,301.73
04/05/2024,169.58,37.11,527.34,425.52,5204.34,170.42,301.91
04/04/2024,168.82,36.92,510.92,417.88,5147.21,165.83,294.14
04/03/2024,169.65,37.44,506.74,420.45,5211.49,180.77,304.74
04/02/2024,168.84,37.3,497.37,421.44,5205.81,178.7,304.0
04/01/2024,170.03,37.52,491.35,424.57,5243.77,183.34,302.26
03/28/2024,171.48,37.92,485.58,420.72,5254.35,180.49,301.18
03/27/2024,173.31,37.81,493.86,421.43,5248.49,179.59,301.38
03/26/2024,169.71,37.09,495.89,421.65,5203.58,177.87,305.83
03/25/2024,170.85,36.86,503.02,422.86,5218.19,178.63,306.06
03/22/2024,172.28,37.05,509.58,428.74,5234.18,179.65,307.77
03/21/2024,171.37,37.51,507.76,429.37,5241.53,178.68,308.39
03/20/2024,178.67,36.75,505.52,425.23,5224.62,179.73,306.08
03/19/2024,176.08,36.03,496.24,421.41,5178.51,181.42,301.45
03/18/2024,173.72,36.01,496.98,417.32,5149.42,190.65,300.51
03/15/2024,172.62,35.41,484.1,416.42,5117.09,191.06,294.33
03/14/2024,173.0,35.69,491.83,425.22,5150.48,187.06,303.32
03/13/2024,171.13,36.08,495.57,415.1,5165.31,194.79,304.68
03/12/2024,173.23,35.96,499.75,415.28,5175.27,202.76,306.62
03/11/2024,172.75,35.89,483.59,404.52,5117.94,198.39,306.0
03/08/2024,170.73,35.6,505.95,406.22,5123.69,207.39,305.28
03/07/2024,169.0,35.63,512.19,409.14,5157.36,211.38,302.42
03/06/2024,169.12,35.42,496.09,402.09,5104.76,210.63,303.77
03/05/2024,170.12,35.39,490.22,402.65,5078.65,205.13,298.75
03/04/2024,175.1,35.15,498.19,414.92,5130.95,205.36,314.64
03/01/2024,179.66,34.35,502.3,415.5,5137.08,202.64,316.88
02/29/2024,180.75,34.52,490.13,413.64,5096.27,192.53,308.82
02/28/2024,181.42,34.31,484.02,407.72,5069.76,176.54,299.77
02/27/2024,182.63,34.28,487.05,407.48,5078.18,178.0,299.5
02/26/2024,181.16,33.61,481.74,407.54,5069.53,176.01,300.39
02/23/2024,182.52,33.92,484.03,410.34,5088.8,176.52,292.8
02/22/2024,184.37,33.61,486.13,411.65,5087.03,181.86,293.65
02/21/2024,182.32,33.7,468.03,402.18,4981.8,164.29,283.55
02/20/2024,181.56,33.96,471.75,402.79,4975.51,165.69,286.39
02/16/2024,182.31,34.09,473.32,404.06,5005.57,173.87,289.72
02/15/2024,183.86,34.07,484.03,406.56,5029.73,176.76,291.94
02/14/2024,184.15,33.13,473.28,409.49,5000.62,178.7,289.15
02/13/2024,185.04,32.75,460.12,406.32,4953.17,171.54,281.15
02/12/2024,187.15,33.62,468.9,415.26,5021.84,171.91,287.32
02/09/2024,188.85,33.07,468.11,420.55,5026.61,172.48,291.3
02/08/2024,188.32,33.12,470.0,414.11,4997.91,169.35,291.95
02/07/2024,189.41,33.18,469.59,414.05,4995.06,170.94,288.84
02/06/2024,189.3,33.04,454.72,405.49,4954.23,167.88,285.83
02/05/2024,187.68,32.99,459.41,405.65,4942.81,174.23,288.11
02/02/2024,185.85,33.47,474.99,411.22,4958.61,177.66,285.66
02/01/2024,186.86,33.55,394.78,403.78,4906.19,170.48,283.8
01/31/2024,184.4,34.01,390.14,397.58,4845.65,167.69,281.09
01/30/2024,188.04,34.79,400.06,408.59,4924.97,172.06,287.73
01/29/2024,191.73,33.61,401.02,409.72,4927.93,177.83,287.86
01/26/2024,192.42,33.43,394.14,403.93,4890.97,177.25,279.94
01/25/2024,194.17,33.39,393.18,404.87,4894.16,180.33,279.03
01/24/2024,194.5,32.98,390.7,402.56,4868.55,178.29,276.88
01/23/2024,195.18,32.77,385.2,398.9,4864.6,168.42,276.77
01/22/2024,193.89,32.55,381.78,396.51,4850.43,168.18,280.3
01/19/2024,191.56,32.22,383.45,398.67,4839.81,174.23,280.88
01/18/2024,188.63,31.73,376.13,393.87,4780.94,162.67,274.46
01/17/2024,182.68,31.8,368.37,389.47,4739.21,160.17,271.44
01/16/2024,183.63,32.12,367.46,390.27,4765.98,158.74,269.19
01/12/2024,185.92,32.8,374.49,388.47,4783.83,146.56,271.93
01/11/2024,185.59,33.15,369.67,384.63,4780.24,148.02,271.38
01/10/2024,186.19,33.6,370.47,382.77,4783.45,148.54,264.13
01/09/2024,185.14,33.63,357.43,375.79,4756.5,149.26,261.34
01/08/2024,185.56,34.16,358.66,374.69,4763.54,146.18,260.87
01/05/2024,181.18,34.43,351.95,367.75,4697.24,138.58,251.12
01/04/2024,181.91,33.8,347.12,367.94,4688.68,136.01,251.24
01/03/2024,184.25,33.53,344.47,370.6,4704.81,135.32,251.84
01/02/2024,185.64,33.9,346.29,370.87,4742.83,138.58,256.13
12/29/2023,192.53,33.67,353.96,376.04,4769.83,147.41,263.14
12/28/2023,193.58,33.88,358.32,375.28,4783.35,148.76,265.58
12/27/2023,193.15,33.84,357.83,374.07,4781.58,146.07,266.72
12/26/2023,193.05,33.86,354.83,374.66,4774.75,143.41,266.22
12/22/2023,193.6,33.43,353.39,374.58,4754.63,139.6,266.34
12/21/2023,194.68,33.2,354.09,373.54,4746.75,139.91,267.25
12/20/2023,194.83,32.98,349.28,370.62,4698.35,135.47,260.25
12/19/2023,196.94,33.51,350.36,373.26,4768.37,140.15,264.34
12/18/2023,195.89,33.43,344.62,372.65,4740.56,138.9,263.59
12/15/2023,197.57,33.6,334.92,370.73,4719.19,139.15,261.6
12/14/2023,198.11,33.94,333.17,365.93,4719.55,138.0,257.21
12/13/2023,197.96,32.04,334.74,374.37,4707.09,138.19,257.32
12/12/2023,194.71,30.74,334.22,374.38,4643.7,137.61,256.45
12/11/2023,193.18,30.85,325.28,371.3,4622.44,134.41,252.1
12/08/2023,195.71,30.96,332.75,374.23,4604.37,128.92,250.81
12/07/2023,194.27,30.66,326.59,370.95,4585.59,128.37,248.85
12/06/2023,192.32,30.53,317.45,368.8,4549.34,116.82,249.13
12/05/2023,193.42,30.58,318.29,372.52,4567.18,118.38,251.02
12/04/2023,189.43,30.82,320.02,369.14,4569.78,118.57,250.66
12/01/2023,191.24,30.96,324.82,374.51,4594.63,121.39,260.0
11/30/2023,189.95,30.49,327.15,378.91,4567.8,121.16,251.9
11/29/2023,189.37,30.31,332.2,378.85,4550.58,123.85,230.35
11/28/2023,190.4,29.53,338.99,382.7,4554.89,122.01,224.92
11/27/2023,189.79,29.56,334.7,378.61,4550.43,122.65,224.79
11/24/2023,189.97,29.73,338.23,377.43,4559.34,122.31,224.38
11/22/2023,191.31,29.63,341.49,377.85,4556.62,122.51,223.84
11/21/2023,190.64,29.66,336.98,373.07,4538.19,119.16,224.32
11/20/2023,191.45,30.01,339.97,377.44,4547.38,121.53,225.13
11/17/2023,189.69,29.98,335.04,369.85,4514.02,120.62,221.22
11/16/2023,189.71,29.54,334.19,376.17,4508.24,119.83,221.45
11/15/2023,188.01,29.62,332.71,369.67,4502.88,118.0,219.42
11/14/2023,187.44,29.22,336.31,370.27,4495.7,119.88,221.18
11/13/2023,184.8,27.7,329.19,366.68,4411.55,116.79,215.28
11/10/2023,186.4,27.68,328.77,369.67,4415.24,118.59,213.63
11/09/2023,182.41,27.53,320.55,360.69,4347.35,113.49,210.01
11/08/2023,182.89,27.89,319.78,363.2,4382.78,113.59,211.47
11/07/2023,181.82,28.16,318.82,360.53,4378.38,113.45,211.84
11/06/2023,179.23,28.33,315.8,356.53,4365.98,111.75,207.42
11/03/2023,176.65,28.42,314.6,352.8,4358.34,112.25,207.47
11/02/2023,177.57,27.62,310.87,348.32,4317.78,107.83,208.11
11/01/2023,173.97,26.4,311.85,346.07,4237.86,108.04,203.91
10/31/2023,170.77,26.34,301.27,338.11,4193.8,98.5,200.83
10/30/2023,170.29,25.69,302.66,337.31,4166.82,96.18,199.27
10/27/2023,168.22,25.17,296.73,329.81,4117.37,96.43,196.57
10/26/2023,166.89,26.12,288.35,327.89,4137.23,93.67,196.25
10/25/2023,171.1,25.55,299.53,340.67,4186.77,96.055,197.06
10/24/2023,173.44,25.47,312.55,330.53,4247.68,101.67,204.22
10/23/2023,173.0,25.57,314.01,329.32,4217.04,100.01,202.0
10/20/2023,172.88,26.31,308.65,326.67,4224.16,101.81,203.73
10/19/2023,175.46,26.96,312.81,331.32,4278.0,102.4,208.32
10/18/2023,175.84,27.31,316.97,330.11,4314.6,102.17,204.83
10/17/2023,177.15,27.62,324.0,332.06,4373.2,105.14,209.84
10/16/2023,178.72,26.99,321.15,332.64,4373.63,106.46,208.53
10/13/2023,178.85,26.76,314.69,327.73,4327.78,105.09,204.59
10/12/2023,180.71,26.9,324.16,331.16,4349.61,108.79,205.68
10/11/2023,179.8,27.02,327.82,332.42,4376.95,108.31,206.85
10/10/2023,178.39,27.01,321.84,328.39,4358.24,109.01,206.88
10/09/2023,178.99,26.31,318.36,329.82,4335.66,106.97,207.22
10/06/2023,177.49,26.07,315.43,327.26,4308.5,107.24,207.36
10/05/2023,174.91,26.06,304.79,319.36,4258.19,102.91,202.01
10/04/2023,173.66,25.94,305.58,318.955,4263.75,104.07,201.87
10/03/2023,172.4,25.91,300.94,313.39,4229.45,100.08,199.83
10/02/2023,173.75,26.7,306.82,321.8,4288.39,103.27,203.71
09/29/2023,171.21,27.38,300.21,315.75,4288.05,102.82,202.78
09/28/2023,170.69,27.56,303.96,313.64,4299.7,102.76,203.2
09/27/2023,170.43,27.27,297.74,312.79,4274.51,98.07,202.73
09/26/2023,171.96,27.17,298.96,312.14,4273.53,95.96,202.49
09/25/2023,176.08,27.6,300.83,317.54,4337.44,97.38,206.34
09/22/2023,174.79,27.64,299.08,317.01,4320.06,96.2,206.43
09/21/2023,173.93,28.05,295.73,319.53,4330.0,96.11,208.61
09/20/2023,175.49,28.55,299.67,320.77,4402.2,100.34,213.03
09/19/2023,179.07,28.65,305.07,328.65,4443.95,101.61,215.7
09/18/2023,177.97,28.76,302.55,329.06,4453.53,102.37,215.0
09/15/2023,175.01,28.84,300.31,330.22,4450.32,101.49,214.61
09/14/2023,175.74,29.2,311.72,338.7,4505.1,106.63,218.78
09/13/2023,174.21,28.88,305.06,336.06,4467.44,107.71,218.8
09/12/2023,176.3,28.97,301.66,331.77,4461.9,105.31,221.66
09/11/2023,179.36,28.48,307.56,337.94,4487.46,105.32,225.31
09/08/2023,178.18,28.36,297.89,334.27,4457.49,106.09,224.76
09/07/2023,177.56,28.13,298.67,329.91,4451.14,106.59,222.53
09/06/2023,182.91,28.39,299.17,332.88,4465.48,109.28,221.62
09/05/2023,189.7,28.65,300.15,333.55,4496.83,110.78,218.69
09/01/2023,189.46,28.98,296.38,328.66,4515.77,109.45,221.53
08/31/2023,187.87,28.67,295.89,327.76,4507.66,105.72,221.46
08/30/2023,187.65,29.04,295.1,328.79,4514.87,106.59,215.04
08/29/2023,184.12,29.17,297.99,328.41,4497.63,105.92,211.96
08/28/2023,180.19,28.76,290.26,323.7,4433.31,102.61,211.72
08/25/2023,178.61,28.5,285.5,322.98,4405.71,102.25,209.47
08/24/2023,176.38,28.62,286.75,319.97,4376.31,101.8,205.51
08/23/2023,181.12,28.45,294.24,327.0,4436.01,109.43,209.13
08/22/2023,177.23,28.44,287.6,322.46,4387.55,105.66,206.76
08/21/2023,175.84,29.15,289.9,321.88,4399.77,108.22,209.03
08/18/2023,174.49,29.11,283.25,316.48,4369.71,105.45,204.83
08/17/2023,174.0,29.28,285.09,316.88,4370.36,104.44,203.84
08/16/2023,176.57,29.29,294.29,320.4,4404.33,107.19,206.99
08/15/2023,177.45,29.94,301.95,321.86,4437.86,111.35,208.78
08/14/2023,179.46,30.93,306.19,324.04,4489.72,111.98,212.06
08/11/2023,177.79,31.29,301.64,321.01,4464.05,107.57,208.7
08/10/2023,177.97,30.94,305.74,322.93,4468.83,110.23,208.25
08/09/2023,178.19,30.86,305.21,322.23,4467.71,110.47,205.86
08/08/2023,179.8,31.27,312.64,326.05,4499.38,113.23,211.58
08/07/2023,178.85,31.88,316.56,330.11,4518.44,116.81,216.06
08/04/2023,181.99,31.3,310.73,327.78,4478.03,115.82,214.59
08/03/2023,191.17,31.41,313.19,326.66,4501.89,113.15,215.56
08/02/2023,192.58,31.19,314.31,327.5,4513.39,109.35,220.5
08/01/2023,195.605,31.62,322.71,336.34,4576.73,117.6,224.27
07/31/2023,196.45,32.0,318.6,335.92,4588.96,114.4,225.01
07/28/2023,195.83,31.9,325.48,338.37,4582.23,112.96,225.6
07/27/2023,193.22,31.95,311.71,330.72,4537.41,111.1,225.15
07/26/2023,194.5,32.41,298.57,337.77,4566.75,110.09,225.58
07/25/2023,193.62,32.15,294.47,350.98,4567.46,113.0,226.03
07/24/2023,192.75,32.65,291.61,345.11,4554.64,110.61,225.66
07/21/2023,191.94,31.98,294.26,343.77,4536.34,110.95,228.06
07/20/2023,193.13,31.69,302.52,346.87,4534.87,110.25,228.16
07/19/2023,195.1,31.53,316.01,355.08,4565.72,116.43,234.37
07/18/2023,193.73,30.7,312.05,359.49,4554.98,117.93,227.63
07/17/2023,193.99,29.4,310.62,345.73,4522.79,118.32,228.0
07/14/2023,190.69,29.11,308.87,345.24,4505.42,115.94,229.33
07/13/2023,190.54,29.67,313.41,342.66,4510.04,115.92,230.37
07/12/2023,189.77,29.36,309.34,337.2,4472.16,114.58,227.28
07/11/2023,188.08,29.02,298.29,332.47,4439.26,111.32,221.17
07/10/2023,188.61,28.66,294.1,331.83,4409.53,113.58,212.81
07/07/2023,190.68,28.53,290.53,337.22,4398.95,113.17,209.59
07/06/2023,191.81,28.28,291.99,341.27,4411.59,113.48,210.14
07/05/2023,191.33,29.08,294.37,338.15,4446.82,113.95,213.82
07/03/2023,192.46,29.2,286.02,337.99,4455.59,115.82,211.65
06/30/2023,193.97,28.69,286.98,340.54,4450.38,113.91,211.26
06/29/2023,189.59,28.66,281.53,335.05,4396.44,111.24,210.43
06/28/2023,189.25,28.07,285.29,335.85,4376.86,110.17,212.17
06/27/2023,188.06,28.24,287.05,334.57,4378.41,110.39,208.82
06/26/2023,185.27,28.09,278.47,328.6,4328.82,107.51,207.36
06/23/2023,186.68,27.75,288.73,335.02,4348.33,110.01,210.09
06/22/2023,187.0,27.96,284.88,339.71,4381.89,110.7,213.29
06/21/2023,183.96,28.57,281.64,333.56,4365.69,112.11,209.59
06/20/2023,185.01,28.87,284.33,338.05,4388.71,118.93,216.97
06/16/2023,184.92,29.19,281.0,342.33,4409.59,120.08,211.76
06/15/2023,186.01,29.37,281.83,348.1,4425.84,124.24,211.92
06/14/2023,183.95,29.12,273.35,337.34,4372.59,127.33,209.4
06/13/2023,183.31,29.4,271.32,334.29,4369.01,124.53,208.98
06/12/2023,183.79,29.13,271.05,331.85,4338.93,129.19,213.69
06/09/2023,180.96,29.27,264.95,326.79,4298.86,124.92,215.31
06/08/2023,180.57,29.23,264.58,325.26,4293.93,121.05,209.53
06/07/2023,177.82,29.48,263.6,323.38,4267.52,117.83,205.73
06/06/2023,179.21,29.23,271.12,333.68,4283.85,124.23,212.85
06/05/2023,179.58,28.54,271.39,335.94,4273.79,117.93,209.86
06/02/2023,180.95,28.71,272.61,335.4,4282.37,117.86,213.03
06/01/2023,180.09,27.78,272.61,332.58,4221.02,119.47,212.9
05/31/2023,177.25,27.79,264.72,328.39,4179.83,118.21,223.38
05/30/2023,177.3,28.26,262.52,331.21,4205.52,125.27,218.87
05/26/2023,175.43,28.31,262.04,332.89,4205.45,127.03,215.44
05/25/2023,172.99,28.17,252.69,325.92,4151.28,120.35,209.91
05/24/2023,171.84,28.1,249.21,313.85,4115.24,108.27,209.06
05/23/2023,171.56,28.58,246.74,315.26,4145.58,108.12,206.64
05/22/2023,174.2,28.34,248.32,321.18,4192.63,108.0,210.26
05/19/2023,175.16,28.11,245.64,318.34,4191.98,105.82,210.36
05/18/2023,175.05,28.47,246.85,318.52,4198.05,107.93,213.32
05/17/2023,172.69,28.57,242.485,314.0,4158.77,103.75,209.38
05/16/2023,172.07,27.36,238.82,311.74,4109.9,101.48,204.56
05/15/2023,172.07,27.65,238.86,309.46,4136.28,97.4,203.33
05/12/2023,172.57,27.09,233.81,308.97,4124.08,95.26,201.81
05/11/2023,173.75,27.39,235.79,310.11,4130.62,97.1,203.47
05/10/2023,173.555,27.32,233.08,312.31,4137.64,97.02,204.85
05/09/2023,171.77,27.66,233.37,307.0,4119.17,95.06,201.18
05/08/2023,173.5,27.69,233.27,308.65,4138.12,95.04,197.9
05/05/2023,173.57,27.71,232.78,310.65,4136.25,89.84,197.59
05/04/2023,165.79,26.99,233.52,305.41,4061.22,86.61,192.38
05/03/2023,167.45,27.86,237.03,304.4,4090.75,81.62,192.61
05/02/2023,168.54,28.16,239.24,305.41,4119.58,89.91,193.84
05/01/2023,169.59,29.04,243.18,305.56,4167.87,89.69,197.79
04/28/2023,169.68,29.28,240.32,307.26,4169.48,89.37,198.37
04/27/2023,168.41,28.89,238.56,304.83,4135.35,87.44,195.94
04/26/2023,163.76,28.44,209.4,295.37,4055.99,85.94,191.52
04/25/2023,163.77,28.84,207.55,275.42,4071.63,83.8,190.67
04/24/2023,165.33,29.76,212.79,281.77,4137.04,87.57,194.92
04/21/2023,165.02,29.87,212.89,285.76,4133.52,88.43,199.03
04/20/2023,166.65,29.9,213.07,286.11,4129.79,90.11,197.51
04/19/2023,167.63,30.06,215.7,288.45,4154.52,89.94,198.92
04/18/2023,166.47,30.56,217.89,288.37,4154.87,89.78,198.5
04/17/2023,165.23,30.37,218.86,288.8,4151.32,89.87,197.08
04/14/2023,165.21,29.52,221.49,286.14,4137.64,91.75,194.65
04/13/2023,165.56,28.56,220.35,289.84,4146.22,92.09,194.02
04/12/2023,160.1,28.48,214.0,283.49,4091.95,92.33,190.32
04/11/2023,160.8,28.71,213.85,282.83,4108.94,94.03,188.89
04/10/2023,162.03,27.94,214.75,289.39,4109.11,95.48,191.49
04/06/2023,164.66,27.84,216.1,291.6,4105.02,92.47,192.55
04/05/2023,163.76,27.64,211.48,284.34,4090.38,92.56,195.31
04/04/2023,165.63,27.98,214.72,287.18,4100.6,95.87,197.2
04/03/2023,166.17,28.59,213.07,287.23,4124.51,96.56,196.49
03/31/2023,164.9,28.6,211.94,288.3,4109.31,98.01,199.78
03/30/2023,162.36,28.3,207.84,284.05,4050.83,97.88,196.6
03/29/2023,160.77,28.67,205.35,280.51,4027.81,96.09,196.64
03/28/2023,157.65,28.12,200.68,275.23,3971.27,94.56,192.3
03/27/2023,158.28,28.49,202.84,276.38,3977.53,96.61,191.26
03/24/2023,160.25,27.14,206.01,280.57,3970.99,97.95,190.06
03/23/2023,158.93,26.97,204.28,277.66,3948.72,100.28,187.44
03/22/2023,157.83,27.64,199.81,272.29,3936.97,97.58,186.51
03/21/2023,159.28,28.59,202.16,273.78,4002.87,95.93,188.68
03/20/2023,157.4,27.75,197.81,272.23,3951.57,96.81,185.25
03/17/2023,155.0,27.82,195.61,279.43,3916.64,97.84,184.85
03/16/2023,155.85,28.97,204.93,276.2,3960.28,96.6,187.3
03/15/2023,152.99,28.49,197.75,265.44,3891.93,89.68,182.91
03/14/2023,152.59,28.76,194.02,260.79,3919.29,87.45,182.89
03/13/2023,150.47,28.51,180.9,253.92,3855.76,82.01,175.51
03/10/2023,148.5,30.27,179.51,248.59,3861.59,82.67,173.18
03/09/2023,150.59,30.54,181.69,252.32,3918.32,84.03,178.72
